1.75,712,1580,1250,10,2,0
1.58,548,1520,1450,9,3,0
1.58,778,1600,1200,9,3,0
1.58,780,1520,1200,9,3,0
1.41,478,1500,1350,8,3,11
1.33,466,1380,1200,8,4,0
1.33,362,1180,1150,8,4,0
1.25,527,1560,1150,6,6,0
1.25,596,1420,1200,7,4,1
1.16,721,1460,1450,7,5,0
1.16,837,1620,1150,7,5,0
1.16,608,1500,1200,7,5,0
1.16,420,1480,1150,7,5,0
1.16,616,1460,1200,7,5,0
1.16,540,1280,1200,7,5,0
1.16,355,1460,1000,7,5,0
1.08,584,1460,1300,6,5,1
1.08,734,1620,1050,6,6,0
1.08,592,1500,1150,6,5,1
1.08,604,1300,1100,6,5,1
1,535,1440,1300,6,6,0
1,562,1400,1200,6,6,0
1,530,1440,1200,5,5,2
1,605,1380,1150,6,6,0
0.91,600,1420,1150,5,6,1
0.91,539,1400,1100,5,6,1
0.91,545,1400,700,5,6,1
0.83,536,1240,1150,5,7,0
0.75,535,1240,1050,4,7,1
0.66,715,1460,1050,4,8,0
0.66,721,1380,950,4,8,0
0.66,542,1360,800,4,8,0
0.66,345,1140,950,4,8,0
0.66,599,1220,700,4,8,0
0.58,526,1560,950,4,9,0
0.58,723,1500,1050,3,8,1
0.5,417,1200,1050,3,9,0
0.5,421,1200,800,3,9,0
0.33,406,1240,800,2,10,0
