1	1322	78	22	16	30	10
2	894	70	19	16	30	5
3	245	61	21	15	20	5
4	4391	58	18	15	20	5
5	857	44	16	13	10	5
6	5072	43	17	11	10	5
7	6075	42	19	13	10	0
8	904	41	10	1	30	0
9	3767	39	13	6	10	10
10	4970	39	20	14	0	5
11	2586	36	15	11	10	0
12	3602	36	17	14	0	5
13	6569	34	12	2	20	0
14	1596	33	16	12	0	5
15	4392	30	18	12	0	0
16	6637	29	14	10	0	5
17	5878	28	11	9	0	8
18	5547	25	11	4	10	0
19	6088	25	15	10	0	0
20	5989	15	9	0	0	0
21	6558	22	14	0	0	8
22	6113	19	12	7	0	0
23	4375	17	12	0	0	5
24	5702	17	14	3	0	0
25	5706	15	7	8	0	0
26	5175	13	13	0	0	0
27	5213	13	13	0	0	0
28	4988	11	6	5	0	0
29	5486	11	11	0	0	0
30	4827	10	10	0	0	0
31	5714	10	10	0	0	0
32	4715	9	9	0	0	0
33	6557	9	9	0	0	0
34	4835	8	8	0	0	0
35	6581	8	8	0	0	0
36	6345	7	7	0	0	0
37	6079	6	6	0	0	0
38	3617	5	5	0	0	0
39	6112	4	4	0	0	0
