1.75,653,1560,1450,10,2,0
1.66,508,1540,1350,9,3,0
1.58,631,1600,1200,8,3,0
1.5,520,1600,1450,8,4,0
1.5,596,1660,1350,7,4,1
1.41,529,1480,1550,8,4,0
1.41,462,1540,1350,8,4,0
1.41,479,1380,1400,8,4,0
1.41,760,1760,1150,7,5,0
1.41,585,1540,1300,8,4,0
1.33,395,1400,1400,8,4,0
1.33,353,1340,1450,8,4,0
1.33,401,1400,1150,8,4,0
1.25,666,1560,1400,7,5,0
1.25,647,1320,1350,7,5,0
1.25,473,1380,1200,7,4,1
1.25,561,1340,1100,7,3,0
1.16,646,1640,1250,6,6,0
1.16,611,1580,1200,6,6,0
1.16,577,1460,1250,7,5,0
1.08,384,1480,1300,6,6,0
1,467,1500,1200,6,6,0
1,472,1340,1200,6,6,0
1,583,1340,1300,6,6,0
1,755,1480,1000,6,5,0
0.91,570,1420,850,5,5,1
0.83,476,1500,1150,5,7,0
0.83,345,1380,1200,5,7,0
0.75,534,1320,1050,4,7,1
0.66,622,1460,1250,3,9,0
0.66,533,1320,1200,4,8,0
0.66,470,1580,1000,3,8,1
0.66,610,1400,1050,4,8,0
0.66,513,1480,850,4,8,0
0.58,370,1160,850,3,7,1
0.5,426,1240,950,3,9,0
0.5,566,1340,750,3,9,0
0.5,525,1280,850,3,8,0
0.33,709,1460,950,2,10,0
0.16,515,1200,750,1,11,0
